Age,Gender,User_Type,Dataset_Source,Region,Region_Group,Screen_Time,Social_Media_Hours,Gaming_Hours,Work_Study_Hours,Sleep_Hours,Stress_Level,Anxiety_Level,Depression_Level,Notifications_Per_Day,Addiction_Level,Productivity_Impact,Physical_Activity,Caffeine_Intake,Stress_Level_Raw,Age_Group,Behavioral_Risk_Index,Addiction_Category,Productivity_Flag
23,Female,Student,Student_Wellness,Global/Unknown,Global,11.8,,,3.5,8.7,0.01963141025641026,,,,,High,Yes,3.0,2.0,Young Adult,2.3958894230769223,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,2.3,,,4.0,5.2,0.01963141025641026,,,,,Medium,No,0.0,2.0,Young Adult,-0.22911057692307701,Unknown,1
24,Male,Student,Student_Wellness,Global/Unknown,Global,2.5,,,7.9,4.7,0.01963141025641026,,,,,Low,Yes,2.0,2.0,Young Adult,-0.059110576923076974,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,7.4,,,7.0,7.7,0.01963141025641026,,,,,Medium,No,1.0,2.0,Young Adult,1.055889423076923,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,8.9,,,6.6,5.1,0.0296474358974359,,,,,Low,No,4.0,3.0,Young Adult,2.1038942307692303,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,2.8,,,5.4,8.4,0.009615384615384616,,,,,High,No,1.0,1.0,Young Adult,-0.6971153846153849,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,5.8,,,2.4,6.4,0.01963141025641026,,,,,Low,Yes,2.0,2.0,Young Adult,0.7558894230769226,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,3.7,,,3.2,5.7,0.01963141025641026,,,,,High,No,4.0,2.0,Young Adult,0.1608894230769229,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,3.4,,,7.1,8.6,0.009615384615384616,,,,,Medium,No,4.0,1.0,Young Adult,-0.5271153846153847,Unknown,1
19,Other,Student,Student_Wellness,Global/Unknown,Global,9.1,,,2.2,5.7,0.0296474358974359,,,,,Medium,No,2.0,3.0,Teen,2.05389423076923,Unknown,1
21,Female,Student,Student_Wellness,Global/Unknown,Global,5.3,,,6.2,5.5,0.01963141025641026,,,,,Low,Yes,2.0,2.0,Young Adult,0.7608894230769228,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,10.1,,,6.6,4.7,0.0296474358974359,,,,,High,Yes,0.0,3.0,Young Adult,2.6038942307692303,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,3.6,,,2.8,6.5,0.01963141025641026,,,,,High,No,4.0,2.0,Young Adult,-0.03411057692307695,Unknown,1
24,Female,Student,Student_Wellness,Global/Unknown,Global,8.6,,,7.3,7.0,0.01963141025641026,,,,,Low,No,3.0,2.0,Young Adult,1.6158894230769227,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,3.8,,,5.0,5.7,0.01963141025641026,,,,,High,Yes,0.0,2.0,Teen,0.1958894230769228,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,4.8,,,2.1,8.6,0.009615384615384616,,,,,Medium,Yes,1.0,1.0,Young Adult,-0.03711538461538466,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,6.7,,,6.7,7.4,0.01963141025641026,,,,,Medium,No,3.0,2.0,Young Adult,0.8708894230769226,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,10.0,,,6.4,7.2,0.01963141025641026,,,,,Low,Yes,1.0,2.0,Young Adult,2.065889423076923,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,4.7,,,5.9,8.7,0.009615384615384616,,,,,High,No,2.0,1.0,Young Adult,-0.0921153846153846,Unknown,1
24,Male,Student,Student_Wellness,Global/Unknown,Global,7.3,,,7.3,6.3,0.01963141025641026,,,,,High,No,0.0,2.0,Young Adult,1.3008894230769228,Unknown,1
24,Male,Student,Student_Wellness,Global/Unknown,Global,2.8,,,3.4,8.9,0.009615384615384616,,,,,Low,No,1.0,1.0,Young Adult,-0.797115384615385,Unknown,1
24,Female,Student,Student_Wellness,Global/Unknown,Global,5.4,,,5.3,8.7,0.01963141025641026,,,,,High,No,2.0,2.0,Young Adult,0.155889423076923,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,7.9,,,2.7,4.2,0.0296474358974359,,,,,Low,Yes,1.0,3.0,Young Adult,1.9338942307692306,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,2.9,,,5.6,7.9,0.009615384615384616,,,,,Low,No,4.0,1.0,Young Adult,-0.5621153846153848,Unknown,1
20,Female,Student,Student_Wellness,Global/Unknown,Global,3.8,,,3.4,8.6,0.009615384615384616,,,,,Low,Yes,3.0,1.0,Young Adult,-0.38711538461538475,Unknown,1
19,Female,Student,Student_Wellness,Global/Unknown,Global,4.2,,,4.1,4.7,0.01963141025641026,,,,,Low,No,1.0,2.0,Teen,0.535889423076923,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,8.7,,,3.9,5.2,0.0296474358974359,,,,,High,Yes,2.0,3.0,Young Adult,2.01389423076923,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,8.7,,,7.6,6.0,0.01963141025641026,,,,,High,Yes,4.0,2.0,Teen,1.8508894230769224,Unknown,1
19,Female,Student,Student_Wellness,Global/Unknown,Global,3.0,,,7.3,5.4,0.01963141025641026,,,,,High,Yes,4.0,2.0,Teen,-0.024110576923077165,Unknown,1
19,Female,Student,Student_Wellness,Global/Unknown,Global,8.7,,,4.8,6.2,0.01963141025641026,,,,,High,No,0.0,2.0,Teen,1.8108894230769224,Unknown,1
19,Male,Student,Student_Wellness,Global/Unknown,Global,3.6,,,7.7,5.7,0.01963141025641026,,,,,High,Yes,1.0,2.0,Teen,0.12588942307692297,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,6.7,,,5.8,4.2,0.01963141025641026,,,,,High,Yes,0.0,2.0,Young Adult,1.5108894230769228,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,2.9,,,2.0,5.2,0.01963141025641026,,,,,Medium,Yes,0.0,2.0,Young Adult,-0.01911057692307705,Unknown,1
18,Male,Student,Student_Wellness,Global/Unknown,Global,3.4,,,2.3,8.1,0.009615384615384616,,,,,Medium,No,3.0,1.0,Teen,-0.4271153846153848,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,8.0,,,3.2,4.3,0.0296474358974359,,,,,Medium,No,0.0,3.0,Young Adult,1.9488942307692305,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,10.0,,,4.1,5.3,0.0296474358974359,,,,,High,No,2.0,3.0,Young Adult,2.4488942307692305,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,11.3,,,6.4,7.9,0.01963141025641026,,,,,Medium,No,1.0,2.0,Young Adult,2.380889423076923,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,3.7,,,3.1,6.8,0.01963141025641026,,,,,Low,Yes,4.0,2.0,Young Adult,-0.059110576923077085,Unknown,1
19,Male,Student,Student_Wellness,Global/Unknown,Global,10.1,,,5.8,5.7,0.0296474358974359,,,,,Medium,No,3.0,3.0,Teen,2.40389423076923,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,5.3,,,2.9,8.5,0.01963141025641026,,,,,Medium,No,1.0,2.0,Young Adult,0.16088942307692267,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,7.6,,,7.0,6.6,0.01963141025641026,,,,,High,No,4.0,2.0,Young Adult,1.3458894230769227,Unknown,1
24,Female,Student,Student_Wellness,Global/Unknown,Global,8.7,,,7.4,6.0,0.01963141025641026,,,,,Low,No,1.0,2.0,Young Adult,1.8508894230769224,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,4.5,,,7.2,4.7,0.01963141025641026,,,,,Medium,Yes,1.0,2.0,Young Adult,0.640889423076923,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,6.8,,,7.6,8.7,0.01963141025641026,,,,,Medium,Yes,1.0,2.0,Young Adult,0.645889423076923,Unknown,1
18,Female,Student,Student_Wellness,Global/Unknown,Global,4.2,,,5.7,4.5,0.01963141025641026,,,,,Low,No,2.0,2.0,Teen,0.575889423076923,Unknown,1
19,Other,Student,Student_Wellness,Global/Unknown,Global,11.3,,,5.5,6.4,0.01963141025641026,,,,,High,No,1.0,2.0,Teen,2.680889423076923,Unknown,1
20,Female,Student,Student_Wellness,Global/Unknown,Global,3.0,,,5.1,6.8,0.01963141025641026,,,,,Medium,Yes,3.0,2.0,Young Adult,-0.3041105769230772,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,6.8,,,2.1,4.9,0.01963141025641026,,,,,Medium,No,0.0,2.0,Young Adult,1.405889423076923,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,6.6,,,4.7,5.6,0.01963141025641026,,,,,Low,No,1.0,2.0,Young Adult,1.1958894230769228,Unknown,1
21,Female,Student,Student_Wellness,Global/Unknown,Global,9.3,,,5.5,9.0,0.01963141025641026,,,,,Low,Yes,4.0,2.0,Young Adult,1.460889423076923,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,6.3,,,5.5,7.9,0.01963141025641026,,,,,Low,Yes,1.0,2.0,Young Adult,0.6308894230769226,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,2.5,,,2.5,9.0,0.009615384615384616,,,,,High,Yes,1.0,1.0,Young Adult,-0.9221153846153847,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,4.6,,,4.1,7.2,0.009615384615384616,,,,,Low,Yes,3.0,1.0,Young Adult,0.17288461538461508,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,4.0,,,2.7,5.1,0.01963141025641026,,,,,Medium,Yes,0.0,2.0,Young Adult,0.385889423076923,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,10.4,,,3.5,4.3,0.0296474358974359,,,,,Medium,No,0.0,3.0,Young Adult,2.7888942307692304,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,8.1,,,4.1,8.8,0.01963141025641026,,,,,High,No,1.0,2.0,Young Adult,1.0808894230769224,Unknown,1
21,Female,Student,Student_Wellness,Global/Unknown,Global,9.8,,,4.2,8.6,0.01963141025641026,,,,,Low,Yes,4.0,2.0,Young Adult,1.7158894230769233,Unknown,1
23,Female,Student,Student_Wellness,Global/Unknown,Global,4.3,,,2.9,4.7,0.01963141025641026,,,,,High,Yes,1.0,2.0,Young Adult,0.5708894230769229,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,10.6,,,2.9,7.7,0.01963141025641026,,,,,Medium,Yes,3.0,2.0,Young Adult,2.1758894230769226,Unknown,1
18,Male,Student,Student_Wellness,Global/Unknown,Global,11.3,,,6.4,7.7,0.01963141025641026,,,,,Medium,Yes,2.0,2.0,Teen,2.420889423076923,Unknown,1
24,Other,Student,Student_Wellness,Global/Unknown,Global,11.0,,,5.5,8.6,0.01963141025641026,,,,,High,No,1.0,2.0,Young Adult,2.1358894230769225,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,10.0,,,2.8,7.2,0.01963141025641026,,,,,Medium,No,1.0,2.0,Young Adult,2.065889423076923,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,3.7,,,2.6,8.6,0.009615384615384616,,,,,Low,No,0.0,1.0,Young Adult,-0.42211538461538467,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,10.9,,,3.7,8.1,0.01963141025641026,,,,,Low,No,4.0,2.0,Young Adult,2.200889423076923,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,10.2,,,5.5,6.8,0.01963141025641026,,,,,Low,Yes,2.0,2.0,Young Adult,2.2158894230769226,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,8.5,,,3.8,5.7,0.0296474358974359,,,,,High,Yes,1.0,3.0,Young Adult,1.84389423076923,Unknown,1
20,Female,Student,Student_Wellness,Global/Unknown,Global,6.7,,,7.4,6.1,0.01963141025641026,,,,,Medium,Yes,0.0,2.0,Young Adult,1.1308894230769229,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,11.6,,,7.1,7.9,0.01963141025641026,,,,,Medium,Yes,4.0,2.0,Young Adult,2.485889423076922,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,11.4,,,7.9,7.6,0.01963141025641026,,,,,Medium,Yes,1.0,2.0,Young Adult,2.475889423076923,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,5.1,,,5.3,7.8,0.01963141025641026,,,,,High,No,3.0,2.0,Young Adult,0.23088942307692273,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,3.7,,,3.6,4.7,0.01963141025641026,,,,,High,Yes,4.0,2.0,Young Adult,0.36088942307692295,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,11.3,,,7.2,5.7,0.0296474358974359,,,,,High,No,2.0,3.0,Young Adult,2.8238942307692305,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,2.6,,,7.5,7.7,0.009615384615384616,,,,,Low,Yes,1.0,1.0,Young Adult,-0.6271153846153847,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,11.3,,,4.9,8.5,0.01963141025641026,,,,,Low,No,2.0,2.0,Young Adult,2.260889423076923,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,7.4,,,3.6,7.0,0.01963141025641026,,,,,High,No,0.0,2.0,Young Adult,1.1958894230769228,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,10.2,,,6.1,5.3,0.0296474358974359,,,,,Low,Yes,1.0,3.0,Young Adult,2.51889423076923,Unknown,1
21,Female,Student,Student_Wellness,Global/Unknown,Global,9.7,,,3.7,7.7,0.01963141025641026,,,,,Low,No,1.0,2.0,Young Adult,1.8608894230769226,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,8.9,,,5.9,5.0,0.0296474358974359,,,,,Medium,No,3.0,3.0,Young Adult,2.1238942307692303,Unknown,1
24,Male,Student,Student_Wellness,Global/Unknown,Global,6.4,,,4.7,4.8,0.01963141025641026,,,,,Low,No,0.0,2.0,Young Adult,1.2858894230769229,Unknown,1
19,Other,Student,Student_Wellness,Global/Unknown,Global,9.5,,,3.6,5.0,0.0296474358974359,,,,,Low,Yes,4.0,3.0,Teen,2.3338942307692303,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,3.1,,,4.6,6.6,0.01963141025641026,,,,,Medium,Yes,4.0,2.0,Young Adult,-0.22911057692307701,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,2.4,,,3.6,8.9,0.009615384615384616,,,,,Medium,Yes,3.0,1.0,Young Adult,-0.9371153846153849,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,11.4,,,6.0,8.2,0.01963141025641026,,,,,Low,No,2.0,2.0,Young Adult,2.355889423076923,Unknown,1
25,Female,Student,Student_Wellness,Global/Unknown,Global,4.0,,,3.1,5.2,0.01963141025641026,,,,,High,No,2.0,2.0,Young Adult,0.36588942307692296,Unknown,1
23,Female,Student,Student_Wellness,Global/Unknown,Global,7.6,,,6.3,8.7,0.01963141025641026,,,,,Medium,No,1.0,2.0,Young Adult,0.9258894230769228,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,10.7,,,6.7,8.6,0.01963141025641026,,,,,Low,No,0.0,2.0,Young Adult,2.030889423076923,Unknown,1
24,Other,Student,Student_Wellness,Global/Unknown,Global,4.0,,,4.6,4.4,0.01963141025641026,,,,,Medium,No,3.0,2.0,Young Adult,0.5258894230769229,Unknown,1
20,Male,Student,Student_Wellness,Global/Unknown,Global,10.7,,,2.4,4.7,0.0296474358974359,,,,,Medium,Yes,0.0,3.0,Young Adult,2.8138942307692303,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,3.9,,,2.6,4.3,0.01963141025641026,,,,,Medium,No,0.0,2.0,Young Adult,0.5108894230769231,Unknown,1
23,Male,Student,Student_Wellness,Global/Unknown,Global,4.1,,,6.7,7.3,0.009615384615384616,,,,,Low,Yes,4.0,1.0,Young Adult,-0.02211538461538476,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,9.5,,,5.9,6.3,0.01963141025641026,,,,,High,Yes,1.0,2.0,Young Adult,2.070889423076923,Unknown,1
25,Male,Student,Student_Wellness,Global/Unknown,Global,3.7,,,4.9,5.6,0.01963141025641026,,,,,High,No,2.0,2.0,Young Adult,0.18088942307692313,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,6.4,,,3.6,7.6,0.01963141025641026,,,,,High,Yes,0.0,2.0,Young Adult,0.7258894230769228,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,10.0,,,2.4,7.1,0.01963141025641026,,,,,High,Yes,1.0,2.0,Young Adult,2.085889423076923,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,9.5,,,3.7,8.1,0.01963141025641026,,,,,High,Yes,4.0,2.0,Young Adult,1.7108894230769227,Unknown,1
21,Male,Student,Student_Wellness,Global/Unknown,Global,5.4,,,4.6,5.8,0.01963141025641026,,,,,Medium,Yes,0.0,2.0,Young Adult,0.7358894230769231,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,9.0,,,3.6,4.4,0.0296474358974359,,,,,Low,Yes,4.0,3.0,Young Adult,2.2788942307692306,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,2.4,,,7.9,7.2,0.009615384615384616,,,,,Low,No,1.0,1.0,Young Adult,-0.5971153846153848,Unknown,1
22,Other,Student,Student_Wellness,Global/Unknown,Global,8.2,,,7.5,8.6,0.01963141025641026,,,,,High,No,4.0,2.0,Young Adult,1.1558894230769228,Unknown,1
20,Other,Student,Student_Wellness,Global/Unknown,Global,4.6,,,6.0,8.5,0.009615384615384616,,,,,High,Yes,1.0,1.0,Young Adult,-0.08711538461538493,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,10.9,,,2.7,8.7,0.01963141025641026,,,,,Medium,Yes,3.0,2.0,Young Adult,2.080889423076923,Unknown,1
21,Other,Student,Student_Wellness,Global/Unknown,Global,8.4,,,3.5,5.2,0.0296474358974359,,,,,Medium,Yes,2.0,3.0,Young Adult,1.9088942307692305,Unknown,1
23,Other,Student,Student_Wellness,Global/Unknown,Global,7.7,,,7.2,7.0,0.01963141025641026,,,,,Low,No,1.0,2.0,Young Adult,1.3008894230769228,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,7.0,,,5.1,7.6,0.01963141025641026,,,,,High,Yes,2.0,2.0,Young Adult,0.9358894230769228,Unknown,1
22,Female,Student,Student_Wellness,Global/Unknown,Global,3.2,,,4.8,7.3,0.009615384615384616,,,,,Low,No,1.0,1.0,Young Adult,-0.3371153846153847,Unknown,1
18,Male,Student,Student_Wellness,Global/Unknown,Global,4.6,,,3.3,4.7,0.01963141025641026,,,,,Low,Yes,3.0,2.0,Teen,0.6758894230769229,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,11.4,,,6.5,8.7,0.01963141025641026,,,,,Medium,No,3.0,2.0,Young Adult,2.2558894230769226,Unknown,1
21,Female,Student,Student_Wellness,Global/Unknown,Global,6.1,,,6.4,8.1,0.01963141025641026,,,,,Medium,No,0.0,2.0,Young Adult,0.5208894230769228,Unknown,1
22,Male,Student,Student_Wellness,Global/Unknown,Global,11.4,,,7.5,6.1,0.01963141025641026,,,,,High,No,2.0,2.0,Young Adult,2.775889423076923,Unknown,1
24,Other,Student,Student_Wellness,Global/Unknown,Global,5.3,,,6.7,5.8,0.01963141025641026,,,,,Low,Yes,3.0,2.0,Young Adult,0.7008894230769229,Unknown,1
18,Other,Student,Student_Wellness,Global/Unknown,Global,10.4,,,2.3,6.6,0.01963141025641026,,,,,Low,Yes,4.0,2.0,Teen,2.325889423076923,Unknown,1
25,Other,Student,Student_Wellness,Global/Unknown,Global,4.4,,,4.6,5.2,0.01963141025641026,,,,,Low,No,3.0,2.0,Young Adult,0.5058894230769231,Unknown,1
